                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.1391,                0.91084,                 1.2953,                0.82173,                0.77857,                0.82505,                0.49122,                 1.5398,                 1.0187,                 1.7605,              0.0010922,              0.0010922,              0.0010922
                     53,                 1.1397,                0.88997,                 1.2931,                0.76842,                  0.769,                0.81131,                 0.4592,                 1.5436,                0.96544,                 1.7963,              0.0010891,              0.0010891,              0.0010891
                     54,                 1.0938,                0.83665,                 1.2771,                0.72213,                0.83661,                0.87299,                0.52395,                 1.4872,                0.91051,                 1.7267,               0.001086,               0.001086,               0.001086
                     55,                 1.0761,                0.82207,                 1.2584,                0.75576,                0.82462,                0.88066,                0.54969,                 1.4527,                0.85314,                 1.7368,              0.0010829,              0.0010829,              0.0010829
                     56,                 1.0686,                0.84682,                 1.2617,                0.86368,                0.76215,                0.86079,                 0.5311,                 1.5135,                0.95857,                 1.7522,              0.0010798,              0.0010798,              0.0010798
                     57,                 1.0849,                0.84985,                 1.2618,                0.77311,                0.73329,                0.81029,                 0.4729,                 1.6177,                 1.0378,                   1.85,              0.0010768,              0.0010768,              0.0010768
                     58,                 1.0781,                0.83582,                 1.2775,                0.74176,                0.90083,                0.89601,                0.53913,                 1.4872,                0.94662,                 1.7188,              0.0010737,              0.0010737,              0.0010737
                     59,                 1.1012,                0.85527,                 1.2745,                0.84578,                0.67552,                0.76835,                  0.455,                 1.5139,                0.95791,                 1.7386,              0.0010706,              0.0010706,              0.0010706
                     60,                 1.0536,                0.83529,                 1.2471,                0.86194,                 0.7581,                 0.8348,                0.50765,                 1.4797,                  0.934,                 1.7065,              0.0010675,              0.0010675,              0.0010675
                     61,                 1.0323,                0.77411,                 1.2184,                0.86979,                0.80331,                0.87152,                0.53472,                  1.366,                0.85118,                 1.6258,              0.0010644,              0.0010644,              0.0010644
                     62,                 1.0302,                0.78994,                 1.2219,                0.85874,                 0.7854,                0.87581,                0.54259,                 1.4652,                0.88638,                 1.7349,              0.0010613,              0.0010613,              0.0010613
                     63,                 1.0579,                0.82672,                 1.2423,                0.79462,                0.75113,                0.83693,                0.51848,                 1.4887,                0.97069,                 1.7043,              0.0010582,              0.0010582,              0.0010582
                     64,                 1.0627,                0.86031,                 1.2445,                0.84163,                0.73299,                0.81569,                0.48026,                 1.5194,                 1.0092,                 1.7128,              0.0010551,              0.0010551,              0.0010551
                     65,                 1.0795,                0.84152,                 1.2356,                0.77353,                0.86077,                0.85992,                0.51863,                 1.3819,                0.84804,                  1.664,               0.001052,               0.001052,               0.001052
                     66,                 1.0537,                0.80314,                 1.2418,                0.84092,                0.71258,                0.82877,                0.49479,                 1.4822,                0.91279,                 1.7425,              0.0010489,              0.0010489,              0.0010489
                     67,                 1.0517,                 0.7821,                 1.2394,                0.82107,                 0.7719,                0.85935,                0.53396,                 1.4493,                0.86794,                 1.7155,              0.0010458,              0.0010458,              0.0010458
